`t' Minor Mode Bindings:
key           binding
---           -------

RET           dired-find-file
C-t           Prefix Command
ESC           Prefix Command
!             dired-do-shell-command
#             dired-flag-auto-save-files
%             Prefix Command
&             dired-do-async-shell-command
(             dired-hide-details-mode
*             Prefix Command
+             dired-create-directory
-             dired-up-directory
.             dired-clean-directory
;             Prefix Command
<             dired-prev-dirline
=             dired-diff
>             dired-next-dirline
A             dired-do-find-regexp
B             dired-do-byte-compile
C             dired-do-copy
D             dired-do-delete
H             dired-do-hardlink
I             dired-maybe-insert-subdir
J             dired-goto-file
L             dired-do-load
M             dired-do-chmod
O             dired-do-chown
P             dired-do-print
Q             dired-do-find-regexp-and-replace
R             dired-do-rename
T             dired-do-touch
U             dired-unmark-all-marks
W             browse-url-of-dired-file
X             dired-do-shell-command
Y             dired-copy-filename-as-kill
Z             dired-do-compress
[             Prefix Command
]             Prefix Command
^             dired-up-directory
a             dired-find-alternate-file
c             dired-do-compress-to
d             dired-flag-file-deletion
g             Prefix Command
i             dired-toggle-read-only
j             dired-next-line
k             dired-previous-line
m             dired-mark
o             dired-sort-toggle-or-edit
q             quit-window
r             dired-do-redisplay
t             dired-toggle-marks
u             dired-unmark
x             dired-do-flagged-delete
~             dired-flag-backup-files
S-SPC         dired-previous-line
<M-return>    dired-display-file
<S-return>    dired-find-file-other-window
<delete>      dired-unmark-backward
<follow-link> mouse-face
<mouse-2>     dired-mouse-find-file-other-window
<remap>       Prefix Command

; d           epa-dired-do-decrypt
; e           epa-dired-do-encrypt
; s           epa-dired-do-sign
; v           epa-dired-do-verify

C-t C-t       image-dired-dired-toggle-marked-thumbs
C-t .         image-dired-display-thumb
C-t a         image-dired-display-thumbs-append
C-t c         image-dired-dired-comment-files
C-t d         image-dired-display-thumbs
C-t e         image-dired-dired-edit-comment-and-tags
C-t f         image-dired-mark-tagged-files
C-t i         image-dired-dired-display-image
C-t j         image-dired-jump-thumbnail-buffer
C-t r         image-dired-delete-tag
C-t t         image-dired-tag-files
C-t x         image-dired-dired-display-external

<remap> <adversed-undo>       dired-undo
<remap> <next-ne>             dired-next-line
<remap> <previs-line>         dired-previous-line
<remap> <read-ly-mode>        dired-toggle-read-only
<remap> <togglread-only>      dired-toggle-read-only
<remap> <undo>                dired-undo

] ]           dired-next-dirline

[ [           dired-prev-dirline

* C-n         dired-next-marked-file
* C-p         dired-prev-marked-file
* !           dired-unmark-all-marks
* %           dired-mark-files-regexp
* (           dired-mark-sexp
* *           dired-mark-executables
* .           dired-mark-extension
* /           dired-mark-directories
* ?           dired-unmark-all-files
* @           dired-mark-symlinks
* O           dired-mark-omitted
* c           dired-change-marks
* m           dired-mark
* s           dired-mark-subdir-files
* t           dired-toggle-marks
* u           dired-unmark
* <delete>    dired-unmark-backward

% &           dired-flag-garbage-files
% C           dired-do-copy-regexp
% H           dired-do-hardlink-regexp
% R           dired-do-rename-regexp
% S           dired-do-symlink-regexp
% d           dired-flag-files-regexp
% g           dired-mark-files-containing-regexp
% l           dired-downcase
% m           dired-mark-files-regexp
% r           dired-do-rename-regexp
% u           dired-upcase

C-M-d         dired-tree-down
C-M-n         dired-next-subdir
C-M-p         dired-prev-subdir
C-M-u         dired-tree-up
M-$           dired-hide-all
M-s           Prefix Command
M-{           dired-prev-marked-file
M-}           dired-next-marked-file
C-M-?         dired-unmark-all-files

M-s a         Prefix Command
M-s f         Prefix Command

g $           dired-hide-subdir
g ?           dired-summary
g G           dired-do-chgrp
g O           dired-find-file-other-window
g j           dired-next-dirline
g k           dired-prev-dirline
g o           dired-view-file
g r           revert-buffer
g y           dired-show-file-type

M-s f C-s     dired-isearch-filenames
M-s f ESC     Prefix Command

M-s a C-s     dired-do-isearch
M-s a ESC     Prefix Command

M-s f C-M-s   dired-isearch-filenames-regexp

M-s a C-M-s   dired-do-isearch-regexp
